"Position";"Team";"Points";"Games";"Victories";"Ties";"Losses";"Goals scored";"Goals conceded";"Goal difference";"Performance";"Year";"Round";"Champion";"Champ";"N_round";"First_place";"TP";"TN"
"1";"Sport";"3";"1";"1";"0";"0";"4";"1";"3";"100.0";2015;1;"Corinthians";0;38;1;0;0
"2";"Athletico-PR";"3";"1";"1";"0";"0";"3";"0";"3";"100.0";2015;1;"Corinthians";0;38;0;0;0
"3";"Chapecoense";"3";"1";"1";"0";"0";"2";"1";"1";"100.0";2015;1;"Corinthians";0;38;0;0;0
"3";"São Paulo";"3";"1";"1";"0";"0";"2";"1";"1";"100.0";2015;1;"Corinthians";0;38;0;0;0
"5";"Corinthians";"3";"1";"1";"0";"0";"1";"0";"1";"100.0";2015;1;"Corinthians";1;38;0;0;0
"6";"Fluminense";"3";"1";"1";"0";"0";"1";"0";"1";"100.0";2015;1;"Corinthians";0;38;0;0;0
"7";"Grêmio";"1";"1";"0";"1";"0";"3";"3";"0";"33.3";2015;1;"Corinthians";0;38;0;0;0
"8";"Ponte Preta";"1";"1";"0";"1";"0";"3";"3";"0";"33.3";2015;1;"Corinthians";0;38;0;0;0
"9";"Palmeiras";"1";"1";"0";"1";"0";"2";"2";"0";"33.3";2015;1;"Corinthians";0;38;0;0;0
"10";"Atlético-MG";"1";"1";"0";"1";"0";"2";"2";"0";"33.3";2015;1;"Corinthians";0;38;0;0;0
"11";"Avaí";"1";"1";"0";"1";"0";"1";"1";"0";"33.3";2015;1;"Corinthians";0;38;0;0;0
"12";"Santos";"1";"1";"0";"1";"0";"1";"1";"0";"33.3";2015;1;"Corinthians";0;38;0;0;0
"13";"Vasco";"1";"1";"0";"1";"0";"0";"0";"0";"33.3";2015;1;"Corinthians";0;38;0;0;0
"14";"Goiás";"1";"1";"0";"1";"0";"0";"0";"0";"33.3";2015;1;"Corinthians";0;38;0;0;0
"15";"Flamengo";"0";"1";"0";"0";"1";"1";"2";"-1";"0.0";2015;1;"Corinthians";0;38;0;0;0
"16";"Coritiba";"0";"1";"0";"0";"1";"1";"2";"-1";"0.0";2015;1;"Corinthians";0;38;0;0;0
"17";"Cruzeiro";"0";"1";"0";"0";"1";"0";"1";"-1";"0.0";2015;1;"Corinthians";0;38;0;0;0
